ABCAustralia.au@SD "ABC Australia"
AfricanewsEnglish.fr@SD "Africanews"
AjwaTV.id@SD "AJWA TV"
AlJazeera.qa@Arabic "Al Jazeera Arabic"
AlJazeera.qa@English "Al Jazeera English"
AlQuranAlKareemTV.sa@SD "Al Quran Al Kareem"
AlSunnahAlNabawiyahTV.sa@SD "Sunna TV"
AnhuiTV.cn@SD "Anhui"
AnimalPlanetSoutheastAsia.sg@SD "Animal Planet"
AnimaxAsia.sg@SD "Animax"
AniplusAsia.sg@SD "ANIPLUS"
AntaraTV.id@SD "ANTARA TV"
ANTV.id@SD "ANTV"
ArirangTV.kr@SD "Arirang"
AsianFoodNetwork.sg@SD "AFN"
AXNAsia.sg@Indonesia "AXN"
BaliTV.id@SD "Bali TV"
BandungTV.id@SD "Bandung TV"
BBCEarth.uk@Asia "BBC Earth"
BBCNews.uk@AsiaPacific "BBC World news"
beINSports1.qa@Indonesia "beIN SPORTS"
beINSports2.qa@MENA "beIN SPORTS 2"
beINSports3.qa@Indonesia "beIN SPORTS 3"
beINSports4.qa@MENA "beIN SPORTS 4"
beINSports5.qa@MENA "beIN SPORTS 5"
BeritaSatu.id@SD "Berita Satu"
BioskopIndonesia.id@SD "Bioskop Indonesia"
BloombergTV.us@Asia "Bloomberg"
BTV.id@SD "BTV"
CBeebies.uk@SD "Cbeebies"
CCTV4Asia.cn@SD "CCTV4"
CelebritiesTV.id@SD "Celebrities TV"
CelestialClassicMovies.id@SD "CCM"
CelestialMoviesIndonesia.id@SD "Celestial Movies"
CGTN.cn@SD "CGTN"
CGTNDocumentary.cn@SD "CGTN Documentary"
ChampionsFight.id@HD "Champions Fight"
ChampionsGolf1.id@HD "Champions Golf 1"
ChampionsGolf2.id@HD "Champions Golf 2"
ChampionsTV1.id@SD "Champions TV 1"
ChampionsTV2.id@SD "Champions TV 2"
ChampionsTV3.id@SD "Champions TV 3"
ChampionsTV5.id@SD "Champions TV 5"
ChampionsTV6.id@SD "Champions TV 6"
ChampionsTVEPL.id@SD "Premier League TV"
ChannelJowo.id@SD "Channel Jowo"
ChineseDrama.hk@SD "Chinese Drama"
Cinemachi.uk@SD "Originals"
CinemachiAction.uk@SD "Cineedge"
CinemachiKids.uk@SD "Buddy Star"
CinemachiMax.uk@SD "Superrix"
CinemachiXtra.uk@SD "Uniques"
CinemaWorld.my@SD "CinemaWorld"
CinemaxAsia.sg@SD "CINEMAX"
CitraDangdut.id@SD "Citra Dangdut"
CitraDrama.id@SD "Citra Drama"
CNA.sg@SD "Channel News Asia"
CNBCAsia.sg@SD "CNBC Asia"
CNBCIndonesia.id@SD "CNBC Indonesia"
CNNIndonesia.id@SD "CNN Indonesia"
CNNInternational.us@AsiaPacific "CNN International"
CrimePlusInvestigationAsia.sg@SD "Crime Investigation"
CuriosityChannel.us@SD "Curiosity Channel"
DAAITV.id@SD "DAAI TV"
DanceTelevision.nl@SD "Dance TV"
DaVinciAsia.de@SD "Da Vinci Learning"
DaystarTV.us@SD "DayStar"
DensFoodChannel.id@SD "DensFood Channel"
DensKnowledge.id@SD "DensKnowledge"
DensLifeStyle.id@SD "DensLife&Style"
DensPlay.id@SD "DensPlay"
DensShowBiz.id@SD "DensShowBiz"
DIM.ua@SD "DIM TV"
DiscoveryAsia.sg@SD "Discovery Asia"
DiscoveryChannelSoutheastAsia.sg@SD "Discovery Channel"
DMITV.id@SD "DMI TV"
DragonTV.cn@SD "Shanghai Dragon"
DreamWorksChannelAsia.us@SD "Dream Works"
DuniaAnak.id@SD "Dunia Anak"
DuniaLain.id@SD "Dunia Lain"
DW.de@English "DW English"
EatNGo.id@SD "Eat N Go"
ElshintaTV.id@SD "Elshinta TV"
Entertainment.id@SD "Entertainment"
EuronewsEnglish.fr@SD "EURONEWS"
EWTN.us@AsiaPacific "EWTN"
FashionTVAsia.fr@SD "Fashion TV"
Fight.us@SD "Fight TV Premium"
FightSports.us@SD "Fight Sports"
Flik.id@SD "Flik"
FoxNewsChannel.us@SD "FOX News"
France24.fr@English "France 24"
FREEDOM.ua@SD "FREEDOM"
FTV.tw@SD "Formosa"
Galaxy.id@SD "GALAXY"
GalaxyPremium.id@SD "GALAXY PREMIUM"
GarudaTV.id@SD "Garuda TV"
GlobalTrekker.sg@SD "Global Trekker"
GTV.id@SD "GTV"
HBOAsia.sg@SD "HBO"
HBOFamilyAsia.sg@SD "HBO Family"
HBOHitsAsia.sg@SD "HBO Hits"
HBOSignatureAsia.sg@SD "HBO Signature"
